dataset_slug,run_id,alpha,seed_cutoff_A,ranked_non_seed_residue_count,validation_label_count,seed_validation_label_overlap_count,non_seed_validation_label_count,top_10_hit_count,top_10_expected_random_hits,top_10_enrichment_vs_random,average_precision,auroc,selected_residue,selected_is_validation_contact,hotspot_top_5_covered_member_count,hotspot_top_5_validation_hits,hotspot_top_5_enrichment_vs_same_size_random,weighted_total_degree_top_10_hits,nearest_seed_distance_top_10_hits,score_report_path
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha1p0_seedcutoff5p0a,1.0,5.0,142,49,13,36,4,2.53521127,1.57777778,0.36855255,0.68448637,19,False,74,19,1.01276276,3,4,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha1p0_seedcutoff5p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha1p0_seedcutoff5p0a,1.0,5.0,427,46,0,46,0,1.07728337,0.0,0.07391882,0.2836928,271,False,81,16,1.83360172,2,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha1p0_seedcutoff5p0a/score-report.json
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha1p0_seedcutoff8p0a,1.0,8.0,121,49,20,29,3,2.39669421,1.25172414,0.37607672,0.68478261,62,True,64,25,1.62984914,3,3,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha1p0_seedcutoff8p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha1p0_seedcutoff8p0a,1.0,8.0,402,46,0,46,0,1.14427861,0.0,0.09702963,0.37915242,286,False,125,27,1.88765217,2,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha1p0_seedcutoff8p0a/score-report.json
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha3p0_seedcutoff5p0a,3.0,5.0,142,49,13,36,4,2.53521127,1.57777778,0.38002701,0.6802935,19,False,112,18,0.63392857,3,4,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha3p0_seedcutoff5p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha3p0_seedcutoff5p0a,3.0,5.0,427,46,0,46,0,1.07728337,0.0,0.09815308,0.47791852,271,False,130,26,1.85652174,3,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha3p0_seedcutoff5p0a/score-report.json
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha3p0_seedcutoff8p0a,3.0,8.0,121,49,20,29,3,2.39669421,1.25172414,0.37916168,0.69490255,62,True,61,25,1.71000565,4,3,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha3p0_seedcutoff8p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha3p0_seedcutoff8p0a,3.0,8.0,402,46,0,46,0,1.14427861,0.0,0.12250068,0.55630191,286,False,138,25,1.5831758,3,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha3p0_seedcutoff8p0a/score-report.json
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha5p0_seedcutoff5p0a,5.0,5.0,142,49,13,36,4,2.53521127,1.57777778,0.37763009,0.67321803,19,False,113,18,0.62831858,3,4,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha5p0_seedcutoff5p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha5p0_seedcutoff5p0a,5.0,5.0,427,46,0,46,0,1.07728337,0.0,0.10316482,0.5190574,271,False,133,26,1.81464531,2,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha5p0_seedcutoff5p0a/score-report.json
kras_g12c,ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha5p0_seedcutoff8p0a,5.0,8.0,121,49,20,29,4,2.39669421,1.66896552,0.39570923,0.69752624,62,True,61,25,1.71000565,4,3,analysis/kras_g12c/runs/ohm_atom_contacts_strict_custom_kras_g12c_1000r_alpha5p0_seedcutoff8p0a/score-report.json
bcr_abl1,ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha5p0_seedcutoff8p0a,5.0,8.0,402,46,0,46,0,1.14427861,0.0,0.12167374,0.56527846,286,False,202,22,0.95178648,2,0,analysis/bcr_abl1/runs/ohm_atom_contacts_strict_custom_bcr_abl1_1000r_alpha5p0_seedcutoff8p0a/score-report.json
